Name,Version,Authors,URL,Update URL
Minecraft Coder Pack,9.05,,http://mcp.ocean-labs.de/,
Forge Mod Loader,7.10.99.99,"cpw, LexManos, Player",https://github.com/MinecraftForge/FML/wiki,https://github.com/MinecraftForge/FML/wiki
Minecraft Forge,10.13.4.1614,"LexManos, Eloraam, Spacetoad",http://MinecraftForge.net,"http://MinecraftForge.net/forum/index.php/topic,5.0.html"
Applied Energistics 2 Core,rv3-beta-6,AlgorithmX2,http://ae2.ae-mod.info,
CodeChicken Core,1.0.7.47,ChickenBones,http://www.minecraftforum.net/topic/909223,
Not Enough Items,1.0.5.120,ChickenBones,http://www.minecraftforum.net/topic/909223,
OpenComputers (Core),1.6.0.5-beta.3,Sangar,http://oc.cil.li/,
Thaumic Energistics Core,1.0.0.1,Nividica,http://minecraft.curseforge.com/projects/thaumic-energistics,
Thaumic Tinkerer Core,0.1,"nekosune, Pixlepix, Vazkii",,
CoFH ASM,0,,,
FastCraft,1.23,Player,http://forum.industrial-craft.net/index.php?page=Thread&threadID=10820,
AppleCore,1.3.2,squeek,http://www.minecraftforum.net/forums/mapping-and-modding/minecraft-mods/2222837-applecore-an-api-for-modifying-the-food-and-hunger,
Applied Energistics 2,rv3-beta-6,AlgorithmX2,http://ae2.ae-mod.info,
Blood Magic: Alchemical Wizardry,v1.3.3,WayofTime,http://www.minecraftforum.net/topic/1899223-,
Baubles,1.0.1.10,,http://www.minecraftforum.net/topic/2535073-baubles,
Thaumcraft,4.2.3.5,,http://www.minecraftforum.net/topic/2011841-thaumcraft,
Botania,r1.8-249,Vazkii,http://www.botaniamod.net,
Avaritia,1.11,"SpitefulFox, TTFTCUTS",,
Better Achievements,0.1.0,way2muchnoise,https://github.com/way2muchnoise/BetterAchievements,
Better Title Screen,1.7.10-1.1,"Girafi, Amadornes",https://github.com/GirafiStudios/BetterTitleScreen,
CoFH Core,1.7.10R3.1.2,Team CoFH,http://www.teamcofh.com,
Brandon's Core,1.0.0.12,brandon3055,http://minecraft.curseforge.com/projects/brandons-core,
BuildCraft,7.1.16,"SpaceToad, BuildCraft Team",http://www.mod-buildcraft.com/,
BC Builders,7.1.16,"SpaceToad, BuildCraft Team",http://www.mod-buildcraft.com/,
BC Transport,7.1.16,"SpaceToad, BuildCraft Team",http://www.mod-buildcraft.com/,
BC Energy,7.1.16,"SpaceToad, BuildCraft Team",http://www.mod-buildcraft.com/,
BC Silicon,7.1.16,"SpaceToad, BuildCraft Team",http://www.mod-buildcraft.com/,
BC Robotics,7.1.16,"SpaceToad, BuildCraft Team",http://www.mod-buildcraft.com/,
BC Factory,7.1.16,"SpaceToad, BuildCraft Team",http://www.mod-buildcraft.com/,
